Hospital/Institution,Job Title,Department/Specialty,Location,Application Contact Email,Application URL,Job Description (short),Language Requirement (if mentioned)
Universitätsspital Basel (USB),Assistenzärztin/Assistenzarzt,Diverse Kliniken (Weiterbildung),Basel,,https://wwwprod.usb.ch/jobs-und-karriere/Jobs,Assistenzarztausbildung in mehreren Fachgebieten am universitären Zentrum.,Deutsch (B2–C1)
Kantonsspital Winterthur (KSW),Assistenzärztin/Assistenzarzt,Urologie,Winterthur,,https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/,Assistenz in der Urologie mit OP- und Ambulatoriumseinsatz.,Deutsch
Kantonsspital Winterthur (KSW),Assistenzärztin/Assistenzarzt,Rheumatologie,Winterthur,,https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/,Diagnostik & Therapie rheumatologischer Erkrankungen.,Deutsch
Kantonsspital Winterthur (KSW),Assistenzärztin/Assistenzarzt,Medizinische Poliklinik (AIM),Winterthur,,https://www.ksw.ch/fachabteilungen/medizinische-poliklinik/ausbildung-weiterbildung-fortbildung/,"Station/Poliklinik Innere Medizin, strukturierte Weiterbildung.",Deutsch (B2–C1)
Kantonsspital Aarau (KSA),Assistenzärztin/Assistenzarzt,Institut für Rechtsmedizin / Verkehrsmedizin,Aarau,,https://jobs.ksa.ch/offene-stellen/assistenzaerztin-arzt-verkehrsmedizin-institut-fuer-rechtsmedizin/121df8fe-c62e-4f3e-81b3-4febb19dc9e3,"Gutachten, verkehrsmedizinische Abklärungen in interdisziplinärem Team.",Deutsch (C1)
Kantonsspital Baden (KSB),Assistenzärztin/Assistenzarzt,Innere Medizin,Baden,,https://www.kantonsspitalbaden.ch/jobs/assistenzarztaerztin-innere-medizin,Stationäre Grundversorgung und Rotation Ambulatorium.,Deutsch
Kantonsspital Baden (KSB),Assistenzärztin/Assistenzarzt,Intensivmedizin (INZ),Baden,,https://www.kantonsspitalbaden.ch/jobs/assistenzarztaerztin-inz-60-100,"Betreuung von Intensivpatienten, interdisziplinäres Umfeld.",Deutsch
Stadtspital Zürich,Assistenzärztin/Assistenzarzt,Innere Medizin (Triemli/Waid),Zürich,,https://www.stadt-zuerich.ch/stadtspital/de/ueber-uns/arbeiten-stadtspital/berufswelten/arzt-aerztin.html,Assistenzstellen in verschiedenen Kliniken des Stadtspitals.,Deutsch (B2–C1)
Zuger Kantonsspital (ZGKS),Assistenzärztin/Assistenzarzt,Interdisziplinäres Notfallzentrum / Innere,Baar (ZG),,https://jobs.zgks.ch/Assistenzaerztin-Assistenzarzt-de-j37.html,Assistenz in AIM/Notfallzentrum; Spontanbewerbung möglich.,Deutsch (B2–C1)
Spital Limmattal (s'LIMMI),Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie (Weiterbildung),Schlieren (ZH),,https://www.spital-limmattal.ch/jobs-karriere/offene-stellen/,Assistenzstellen in mehreren Kliniken; SIWF-zertifizierte Weiterbildung.,Deutsch (B2–C1)
Kantonsspital Baselland (KSBL),Assistenzärztin/Assistenzarzt,Chirurgie (Liestal/Bruderholz),Basel-Landschaft,,https://www.ksbl.ch/de/suche/?tx_solr%5Bfilter%5D%5B2%5D=recordType%3Atx_cs2jobs_domain_model_job&tx_solr%5Bq%5D=Assistenz%C3%A4rztin,Assistenz Chirurgie an Standorten Liestal/Bruderholz.,Deutsch
Kantonsspital St.Gallen (KSSG),Assistenzärztin/Assistenzarzt,Diverse Kliniken (Weiterbildung),St. Gallen,,https://www.kssg.ch/karriere/stellen,Assistenzarzt-Weiterbildung in Zentrumsspital mit Rotationen.,Deutsch (B2–C1)
Spital Thurgau AG (STGAG) – Kantonsspitäler Frauenfeld/Münsterlingen,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie / Psychiatrie (diverse),Frauenfeld / Münsterlingen,,https://www.stgag.ch/karriere/offene-stellen,Assistenzstellen in mehreren Disziplinen der Spitäler Thurgau.,Deutsch
Spitäler Schaffhausen,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Schaffhausen,,https://www.spitaeler-schaffhausen.ch/ueber-uns/stellen/,Assistenz in Zentrumsspital eines deutschsprachigen Kantons.,Deutsch
GZO Spital Wetzikon,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Wetzikon (ZH),,https://www.gzo.ch/karriere/offene-stellen/,"Assistenz in regionalem Akutspital, Rotationen möglich.",Deutsch
Spital Uster,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Uster (ZH),,https://www.spitaluster.ch/karriere,Assistenzstellen in Innerer Medizin/Chirurgie/Anästhesie.,Deutsch
Spital Bülach,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie / Anästhesie,Bülach (ZH),,https://www.spitalbuelach.ch/karriere/stellenangebote,Assistenz in verschiedenen Kliniken; Weiterbildungsstätte SIWF.,Deutsch
Solothurner Spitäler (soH) – Kantonsspitäler Olten/Solothurn,Assistenzärztin/Assistenzarzt,Innere / Chirurgie / Frauenklinik (diverse),Solothurn / Olten,,https://www.so-h.ch/ueber-uns/arbeiten-bei-der-soh/offene-stellen/,Assistenzstellen in mehreren Kliniken des soH.,Deutsch
Kantonsspital Graubünden (KSGR),Assistenzärztin/Assistenzarzt,Innere / Chirurgie / Psychiatrie (diverse),Chur (GR),,https://www.ksgr.ch/stellen,Assistenzstellen in deutschspr. Kantonsteil Graubünden.,Deutsch
Spital Davos,Assistenzärztin/Assistenzarzt,Innere Medizin / Notfall,Davos (GR),,https://www.spitaldavos.ch/stellenangebote/,Assistenz in Innerer/Notfall im alpinen Akutspital.,Deutsch
Kantonsspital Nidwalden (KSNW),Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Stans (NW),,https://www.ksnw.ch/karriere/offene-stellen,Assistenzstellen mit breitem Spektrum in Grundversorgung.,Deutsch
Kantonsspital Obwalden (KSOW),Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Sarnen (OW),,https://www.ksow.ch/karriere/,Assistenz in Grund- und Notfallversorgung.,Deutsch
Kantonsspital Glarus (KSGL),Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Glarus,,https://www.ksgl.ch/karriere/,Assistenz in kleinem Akutspital; breite Ausbildung.,Deutsch
Spital Männedorf,Assistenzärztin/Assistenzarzt,Innere Medizin / Chirurgie,Männedorf (ZH),,https://www.spitalmaennedorf.ch/karriere/,Assistenzstellen in diversen Kliniken.,Deutsch
Kantonsspital Aarau (KSA),Assistenzärztin/Assistenzarzt,Innere Medizin (Rotation),Aarau,,https://jobs.ksa.ch/,Assistenz AIM in Kategorie-A-Weiterbildungsstätte.,Deutsch
Kantonsspital Baselland (KSBL),Assistenzärztin/Assistenzarzt,Innere Medizin,Liestal / Bruderholz / Laufen,,https://jobs.ksbl.ch/,Assistenz AIM in regionalem Zentrum.,Deutsch
